id,title,company,city,salary_usd,skill
1,Data Analyst,Kyivstar,Kyiv,1500,SQL
2,Data Analyst,PrivatBank,Dnipro,1200,Excel
3,BI Analyst,Rozetka,Kyiv,1600,Power BI
4,Data Analyst,Luxoft,Lviv,1800,Python
5,Marketing Analyst,Nova Poshta,Kyiv,1000,GA4
6,BI Analyst,SoftServe,Lviv,1400,Tableau
7,Data Analyst,GlobalLogic,Kharkiv,1700,SQL
8,Junior Analyst,Monobank,Kyiv,800,Excel
9,Data Analyst,EPAM,Kyiv,2000,Python
10,BI Analyst,Ajax,Kyiv,1300,Power BI
11,Data Analyst,Ciklum,Odessa,1500,SQL
12,BI Analyst,Infopulse,Kharkiv,1750,Power BI
13,Marketing Analyst,Nova Poshta,Odessa,1100,GA4
14,Data Scientist,Luxoft,Lviv,2200,Python
15,Junior Analyst,Monobank,Kyiv,900,Excel
16,BI Analyst,SoftServe,Lviv,1450,Tableau
17,Data Analyst,EPAM,Dnipro,1800,SQL
18,Marketing Analyst,Rozetka,Kyiv,1300,GA4
19,Data Engineer,GlobalLogic,Kharkiv,2000,Python
20,BI Analyst,Ciklum,Odessa,1500,Power BI
